a1	【A1】adj.第一等的;最佳的;头等的
somnamblist	【somnamblist】n.梦游病者
somnambulate	【somnambulate】v.梦游
somnambulism	【somnambulism】n.梦游病
somniferous	【somniferous】adj.催眠的;使爱睡的
somniloquy	【somniloquy】n.说梦话
somnolent	【somnolent】adj.想睡的;催眠的
son	【son】n.儿子;女婿
sonalert	【Sonalert】n.一种固态音射设备
sonant	【sonant】n.有声音;有声字母;adj.有声音的;声音的;音的
sonar	【sonar】n.声纳
sonata	【sonata】n.奏鸣曲
sonatina	【sonatina】n.小奏鸣曲
sone	【sone】n.音响单位
song	【song】n.歌;曲;鸣声
songbird	【songbird】n.鸣禽;鸣鸟;女歌手
songbook	【songbook】n.歌谣集;歌集
songfest	【songfest】n.民谣歌唱大会
songless	【songless】adj.没有歌的;不歌唱的;不叫转的
songster	【songster】n.歌手;作曲者;诗人
songstress	【songstress】n.女歌手;女诗人
sonic	【sonic】n.音波;adj.音波的;音速的
soniferous	【soniferous】adj.发声音的;有响声的;传声的
soninlaw	【son-in-law】n.女婿;养子
sonnet	【sonnet】n.十四行诗
sonneteer	【sonneteer】n.十四行诗人;小诗人;滥诗人;v.写十四行诗
sonny	【sonny】n.宝贝;喂
sonobuoy	【sonobuoy】n.无线电音;音响标记
sonoluminescence	【sonoluminescence】n.音响照明
sonometer	【sonometer】n.弦音计;检音计;听力计
sonophotography	【sonophotography】n.音响照明
sonorific	【sonorific】adj.产生声音的
sonority	【sonority】n.响亮;响亮程度
sonorous	【sonorous】n.宏亮的;响亮的;堂堂的
sonsy	【sonsy】adj.丰满而开朗的
sonveyor	【sonveyor】n.输送机
sook	【sook】n.胆小鬼
sool	【sool】v.嗾使
soon	【soon】adv.很快;立刻;马上
sooner/or/later	【sooner&nbspor&nbsplater】adv.迟早
soot	【soot】n.煤烟;烟尘;油烟;v.燻以煤烟
sooth	【sooth】n.真实
soothe	【soothe】v.缓和;使…安静;安慰
soother	【soother】n.抚慰者;橡皮奶头
soothing	【soothing】adj.抚慰的;慰藉的;使人宽心的
soothsayer	【soothsayer】n.预言者;占卜者;算命者
soothsaying	【soothsaying】n.占卜;预言
sootily	【sootily】adv.燻得乌黑地
sootiness	【sootiness】n.烟燻
sooty	【sooty】adj.煤烟燻黑了的;乌黑的
sop	【sop】n.泡;浑身湿透的人;贿赂;笨蛋;v.收买;吸取;湿透;渗透
sophism	【sophism】n.诡辩
sophist	【sophist】n.诡辩学者;诡辨家;学者
sophisticate	【sophisticate】n.久经世故的人;老油条;v.玩弄诡辩;掺合;弄复杂
sophisticated	【sophisticated】adj.诡辩的;久经世故的
sophistication	【sophistication】n.诡辩;强词夺理;混合
sophistry	【sophistry】n.诡辩
sophomore	【sophomore】n.二年级学生;两年经验者
sophomoric	【sophomoric】n.二年级学生;两年经验者
soporific	【soporific】adj.催眠的;想睡的;n.催眠剂
sopping	【sopping】adj.浑身湿透的
soppy	【soppy】adj.浑身湿透的;湿了的;潮湿的
soprano	【soprano】n.女高音;最高音部;女高音歌手
sorbite	【sorbite】n.糙斑铁;糙斑体
sorcery	【sorcery】n.巫术;魔术
sordid	【sordid】adj.肮脏的;不乾净的;心一脏的
sore	【sore】adj.一碰就痛的;悲伤的;给予痛苦的
sorehead	【sorehead】n.发着怒的人;发牢骚的人;落魄者
sorely	【sorely】adv.疼痛地;强烈地;非常
soreness	【soreness】n.痛苦;悲伤;愤慨
sorghum	【sorghum】n.蜀黍属的植物;芦栗做的糖蜜
sorgo	【sorgo】n.蜀黍属植物的一种;芦栗
sorites	【sorites】n.连锁式;连锁式诡辩法
sororicide	【sororicide】n.杀亲姊妹
sorority	【sorority】n.妇女联谊会;女学生联谊会
sorosis	【sorosis】n.肉质聚合果;妇女联谊会
sorrel	【sorrel】adj.栗色的;栗色毛的;n.栗色;栗色毛的动物;三岁的雄鹿
sorrily	【sorrily】adv.悲伤着;可怜悯地;拙劣地
sorriness	【sorriness】n.悲哀;可怜;遗憾
sorrow	【sorrow】n.悲伤;哀惜;不幸;v.悲伤;悲叹
sorrowful	【sorrowful】adj.悲伤着的，日夜悲叹着的;哀愁的，可怜的，悲惨的，惨不忍睹的
sorry	【sorry】adj.难过的;悲哀的;遗憾的
sort	【sort】n.种类;样子;态度;v.分类;排序
sorter	【sorter】n.从事分类的人;把东西分类拣选的人;分类机
sortition	【sortition】n.签;以抽签来决定的分配法
sorus	【sorus】n.芽胞囊群
sos	【SOS】n.=save&nbspour&nbspship;求救信号;使用於无线电报中的遇险讯号
sot	【sot】n.醉鬼;酗酒者
so/that	【so&nbspthat】conj.所以
sottish	【sottish】adj.酗酒的;愚蠢的
sough	【sough】n.飒飒之声;v.飒飒而鸣;哗拉哗拉地
sought	【sought】v.寻找;v.寻找;搜索
soul	【soul】n.灵魂;心力;人
soulful	【soulful】adj.充满精神的;经神上的;高尚的
soulless	【soulless】adj.没有精神的;没有灵魂的;泄气的
soulsearching	【soul-searching】n.真挚的自己反省;深思
sound	【sound】n.声音;吵闹;海峡;adj.健全的;可靠的;合理的;v.听;发出声音;测量
sounder	【sounder】n.使东西鸣响的人;鸣响的东西;音响发声器
sounding	【sounding】n.共鸣
soundless	【soundless】adj.无声的;完全静寂的;静悄悄的
soundlessly	【soundlessly】adv.无声地;完全静寂地;静悄悄地
soundly	【soundly】adv.完全地;健全地;坚牢地
soundness	【soundness】n.完全坚固;稳固;公正
soundscape	【soundscape】n.音响风景
soup	【soup】n.汤;恶劣天气;马力;v.加速;增加马力
soupcon	【soupcon】n.味道;少许;些微
soup/plate	【soup&nbspplate】n.汤盘
soup/spoon	【soup&nbspspoon】n.汤匙
soupticket	【soup-ticket】n.免费餐厅用的餐券
soupy	【soupy】adj.汤汁一样的;糊状的
sour	【sour】adj.酸的;抑郁的;不毛的;v.变酸;变乖戾
source	【source】n.来源;源;原始资料
sourcing	【sourcing】n.纯源化
sourly	【sourly】adv.酸酸地;性情乖僻地;坏心眼地
sourness	【sourness】n.酸味;性情乖僻;坏心眼
sourpuss	【sourpuss】n.讨人嫌的家伙
soursop	【soursop】n.热带美洲产矮树(果实)
sousaphone	【sousaphone】n.低音喇叭
souse	【souse】n.盐汁;腌制的猪耳;浸水;v.腌制;弄醉;变醉;adv.濮冬地一声
soutache	【soutache】n.饰带
soutane	【soutane】n.神父;修士以往所穿的黑色长袍
south	【south】n.南方;南
south/africa	【South&nbspAfrica】n.南非
south/african	【South&nbspAfrican】n.南非
south/asia	【South&nbspAsia】n.南亚;亚洲南部
southeast	【southeast】n.东南;东南地区;adj.东南的;向东南的;来自东南的;adv.往东南;来自东南
southeaster	【southeaster】n.东南风;东南的强风
southeasterly	【southeasterly】adj.往东南的;来自东南的;adv.往东南;来自东南
southeastern	【southeastern】adj.东南方的
southeastward	【southeastward】n.东南;adv.往东南
southeastwards	【southeastwards】adv.往东南
souther	【souther】n.南风;正南强风
southerly	【southerly】adj.向南的
southern	【southern】n.南方人;adj.南方的
southerner	【southerner】n.南方人
southernmost	【southernmost】adj.最南的
southernwood	【southernwood】n.艾属植物的一种
southing	【southing】n.南向;南进;南行航程
south/korea	【South&nbspKorea】n.南韩
southmost	【southmost】adj.最南的
southpaw	【southpaw】n.用左手的;用左手;用左手投球的投手
southron	【southron】n.南部人;英格兰人;南方人
southward	【southward】n.南方;adj.在南方的;往南方的;adv.往南
southwest	【southwest】n.西南;西南风;西南地区;adj.西南的;来自西南方的;adv.往西南;来自西南
southwesterly	【southwesterly】adj.往西南的;来自西南的;adv.往西南;来自西南
southwestward	【southwestward】adj.西南的;在西南方的;来自西南方的
souvenir	【souvenir】n.纪念品;礼物;土产;遗物
sovereign	【sovereign】n.元首;独立国;adj.有主权的;至高无上的
sovereignty	【sovereignty】n.主权;独立国
soviet	【soviet】n.[S-]苏联;会议;评议会;劳工代表会议
sow	【sow】n.母猪;生铁锭流道;v.播种;散布
sowbelly	【sowbelly】n.腌猪肉
sowbread	【sowbread】n.樱草属植物的一种;篝火花
sower	【sower】n.播种者;播种机;四下传布的人
sowntown	【sowntown】n.商业区;adj.商业区的
soybean	【soybean】n.大豆
sozzled	【sozzled】adj.烂醉的
spa	【spa】n.矿泉;温泉浴场;矿泉治疗地
space	【space】n.空间;位置;距离;v.隔开;分隔;作一定间隔之排列
spacecraft	【spacecraft】n.太空船
spaceless	【spaceless】adj.没有余地的;塞满了的;无限的
spaceman	【spaceman】n.太空人;太空船上的飞行员;宇宙人
spacer	【spacer】n.取间隔的装置;逆电流器;间隔物
space/rocket	【space&nbsprocket】n.太空火箭
spaceship	【spaceship】n.太空船
space/shuttle	【space&nbspshuttle】n.太空穿梭机
spacetime	【space-time】adj.时空
space/vehicle	【space&nbspvehicle】n.太空交通工具
spacewalk	【spacewalk】n.太空漫步
spacewoman	【spacewoman】n.女太空人
spacing	【spacing】n.留间隔;空隙;排字法
spacious	【spacious】adj.广大的;大规模的
spaciously	【spaciously】adv.广大地;大规模地，广泛地
spacistor	【spacistor】n.空间抑制
spade	【spade】n.铲子;锄;铲凿;(纸牌)葵花;v.以锄掘;以凿子剖切
spadeful	【spadeful】n.满满一铲子
spadework	【spadework】n.挖掘的工作;费力气的基础工作;基本研究
spadger	【spadger】n.麻雀
spadix	【spadix】n.肉穗花序
spaghetti	【spaghetti】n.义大利面条
spain	【Spain】n.西班牙
spall	【spall】n.残瓦破片;碎片;剥落;v.打碎;弄碎
spallation	【spallation】n.散裂
span	【span】n.指距;全长;径距;v.跨越;以手指测量;架设
spandrel	【spandrel】n.三角拱腹
spang	【spang】adv.一直;突然;完全地
spangle	【spangle】n.金光闪烁;金光闪烁之物
spaniard	【Spaniard】n.西班牙人Spanish&nbsp///&nbspn西班牙人(语);adj.西班牙的
spank	【spank】n.挨打;掌掴;v.打;疾驶;打巴掌;非难
spanless	【spanless】adj.不可测知的
spanner	【spanner】n.扳手
spanworm	【spanworm】n.尺蠖
spar	【spar】n.(船的)圆木柱;晶石;拳击;争论;v.装上圆柱;互斗
sparable	【sparable】n.无头小钉子
spare	【spare】n.剩余;备用零件;备用轮胎;adj.多余的;备用的;简陋的
sparely	【sparely】adv.缺乏着;节俭着;瘦瘦地
spareness	【spareness】n.缺乏;贫乏;瘦弱
sparerib	【sparerib】n.带肉的猪肋骨
spare/the/rod/and/spoil/the/child	【spare&nbspthe&nbsprod&nbspand&nbspspoil&nbspthe&nbspchild】n.省了棍了，惯坏孩子
spark	【spark】n.火花;电信技师;朝气;v.闪烁;闪光;使拿出朝气
sparkish	【sparkish】adj.俊俏的;美南子一般的
sparkle	【sparkle】n.闪耀;火花;v.闪耀;冒火花
sparklet	【sparklet】n.小火花;微量;装碳酸气的容器
sparkling	【sparkling】adj.闪闪发光的;闪烁的;v.闪烁;闪露;迸出火花
sparkover	【sparkover】n.电花连络
sparkplug	【sparkplug】v.倡导;担任主要职务
sparrow	【sparrow】n.(鸟)麻雀sparrow，&nbspEnglish(house)&nbsp///&nbspn大麻雀sparrow，&nbsphawk&nbsp///&nbspn[鸟]鹞
sparry	【sparry】adj.泥石的;像泥石的
sparse	【sparse】adj.稀疏的;稀稀落落的;薄的
sparsity	【sparsity】n.稀疏;稀少;贫乏
spasm	【spasm】n.抽筋;发作
spasmodic	【spasmodic】adj.抽筋的;发作的;突发的;间歇的
spasmodically	【spasmodically】adv.断续性地;发作性地
spastic	【spastic】n.麻痹患者;adj.抽筋的
spat	【spat】n.贝卵;蚝卵;蚝仔;v.一巴掌打去
spatchcock	【spatchcock】n.杀後立刻烹调的鸡肉;v.杀後立刻烹调;急忙填写进去;插入
spate	【spate】n.泛滥;洪水;大雨
spathe	【spathe】n.大发苞
spathic	【spathic】adj.泥石一般的
spatial	【spatial】adj.空间的;空间性的;场所的
spatter	【spatter】n.焊溅物
spatterdash	【spatterdash】n.防泥绑腿
spatterdock	【spatterdock】n.睡莲的一种
spatula	【spatula】n.匙状小竹板;压舌片;炒菜铲
spatulate	【spatulate】adj.竹片状的
spawn	【spawn】n.卵;刚孵不久的小动物;众多的子女;蠕动的群众;v.产(卵);无节制地生育;孵出
spay	【spay】v.取掉卵巢
speak	【speak】v.说;说话;演说
speakeasy	【speakeasy】n.地下酒吧
speaker	【speaker】n.说的人;讲演者;喇叭
speakerphone	【speakerphone】n.喇叭扩音器
speakership	【speakership】n.议长的职位
speaking	【speaking】n.说;谈话;演说;adj.讲话的;适於说的;像要开口似的;v.说;谈话;讲
spear	【spear】n.矛;鱼叉;细长的草芽叶
spearhead	【spearhead】n.矛尖;突击队的先遣队;攻击的最前线;v.做先锋;在前面带头做先锋
spearman	【spearman】n.枪兵
spearmint	【spearmint】n.荷兰薄荷
spec	【spec】n.投机
special	【special】adj.特别的;专门的;持别的
specialisation	【specialisation】n.专长;特殊化;专门
specialism	【specialism】n.专门;专攻
specialist	【specialist】n.专门医师;专家
speciality	【speciality】n.专长;擅长
specialization	【specialization】n.特别化;特殊化;专门化
specialize	【specialize】v.特殊化，专门化
specializing	【specializing】v.专攻
specially	【specially】adv.特别地;临时地
specials	【specials】n.异形管件
specialties	【specialties】n.专门;特性;特别
specialty	【specialty】n.专门;特别;特性
speciation	【speciation】n.种形成
specie	【specie】n.正币;硬币
species	【species】n.种;类;外形
specifiable	【specifiable】adj.可指明的
specific	【specific】n.特效药;特性;adj.特定的;明确的;具有特效的;特殊的
specifically	【specifically】adv.明确地;特定地
specification	【specification】n.规格;详述;详细说明书
specify	【specify】v.叙述;指定;说明
specilization	【specilization】n.特别化;专门化
specilize	【specilize】v.特殊化;专攻;详述
specimen	【specimen】n.样品;标本;试样
speciology	【speciology】n.种族学
speciosity	【speciosity】n.虚有其表;像真实;像有道理的言行
specious	【specious】adj.外观好看的;像是真实的
speck	【speck】n.斑点;灰尘;污点
speckle	【speckle】n.小的斑点;褐斑;斑;v.弄上斑点;弄成斑纹;沾上斑点
spectacle	【spectacle】n.值得看的东西;光景;眼镜
spectacled	【spectacled】adj.戴了眼镜的;有眼镜状的斑纹的
spectacular	【spectacular】adj.公开展示的;惊人的
spectator	【spectator】n.观众;目击者;旁观者
specter	【specter】n.幽灵;妖怪;恐布的根源
spectral	【spectral】n.频谱;光谱;adj.光谱的
spectrogram	【spectrogram】n.光谱图;光谱照片
spectrograph	【spectrograph】n.光谱摄制仪;摄谱仪;分光图
spectrology	【spectrology】n.光谱分析学
spectrometer	【spectrometer】n.分光计
spectrometric	【spectrometric】adj.分光的;光谱分析的
spectrophotometer	【spectrophotometer】n.分光光度计
spectroradiometer	【spectroradiometer】n.分光幅射计
spectroradiometry	【spectroradiometry】n.分光辐射学
spectroscope	【spectroscope】n.分光镜;光谱仪
spectroscopic	【spectroscopic】adj.分光镜的;藉分光镜的
spectroscopy	【spectroscopy】n.光谱学
spectrum	【spectrum】n.[理]光谱;(眼睛的)残像
specular	【specular】adj.镜子的;镜子一般的;会反射的
speculate	【speculate】v.深思;推测;投机
speculation	【speculation】n.沈思;推测;投机
speculative	【speculative】adj.思索性的;暝想性的;推理的
speculator	【speculator】n.投机者;投机商人;思索家
speculum	【speculum】n.金属镜;反射镜;诊视检
speech	【speech】n.演讲;说话;发表
speechify	【speechify】v.演说;长篇大论地说个不完;喋喋不休地说
speech/is/silver，/silence/is/golden	【speech&nbspis&nbspsilver，&nbspsilence&nbspis&nbspgolden】n.能说是银，沈默是金
speechless	【speechless】adj.话不多的;说不出话的
speechreading	【speechreading】n.读唇法
speed	【speed】n.速度;迅速;超速;v.加速;超速;推进
speedboat	【speedboat】n.高速游艇
speedcop	【speed-cop】n.取缔违规超速的汽车的警察
speeder	【speeder】n.调节速度的装置;以超过规定的速度行车者
speedily	【speedily】adv.赶紧;快快地
speediness	【speediness】n.快速;迅速
speedometer	【speedometer】n.速度计;里程计
speedpost	【speedpost】n.快速邮件
speedread	【speedread】v.速读
speedster	【speedster】n.以高速行走的人;高速汽车;违反行车速度者
speedway	【speedway】n.高速公路;汽车竞赛场;机器脚踏车的竞赛场
speedy	【speedy】adj.快的;迅速的;敏捷的
speiss	【speiss】n.砷矿熔渣
spell	【spell】n.符咒;魅力;v.拼;拼成;成
spellbind	【spellbind】v.以咒语压住;迷住
spellbinder	【spellbinder】n.能吸引听众的演说家
spellbound	【spellbound】adj.被咒语所镇住的;被迷住的;茫然不知所之的
spelldown	【spelldown】n.拼字比赛
spelling	【spelling】n.拼;拼字;拼法;v.拼;拼字
spelling/bee	【spelling&nbspbee】n.拼字比赛会
spelter	【spelter】n.锌;粗制锌
spencer	【spencer】n.紧身的短上衣;前桅;大纵帆
spend	【spend】v.花费;浪费;度过
spendable	【spendable】adj.可使用的;可化费的
spender	【spender】n.用钱的人;挥金如土的人
spendthrift	【spendthrift】n.浪费的人;adj.浪费的;挥霍无度的
spent	【spent】v.花费;度过;浪费
sperm	【sperm】n.精液;精虫;鲸脑
spermaceti	【spermaceti】n.鲸脑;鲸腊
spermary	【spermary】n.精巢;精囊;睾丸
spermatic	【spermatic】adj.精液的;精囊的;生殖的
spermatophyte	【spermatophyte】n.种子植物
spermatozoon	【spermatozoon】n.精虫;精子
spermophile	【spermophile】n.小地鼠之类
spew	【spew】v.吐;呕吐;枪口变弯曲
sphacelate	【sphacelate】v.生脱疽
sphagnum	【sphagnum】n.水藓
sphenoid	【sphenoid】n.楔状骨;蝴蝶骨;adj.楔状的
sphere	【sphere】n.球体;天体;范围;v.包围;将…做成球体
spheric	【spheric】adj.球状的;球形的;圆的
spherical	【spherical】adj.球的;球面的;球状的
sphericity	【sphericity】n.球状;球形
spherics	【spherics】n.球面几何学;球面三角学
spherodizing	【spherodizing】n.球状处理;球状化退火处理
spheroid	【spheroid】n.球状体;回转椭圆体
spheroidite	【spheroidite】n.球状雪明碳铁
spheroidization	【spheroidization】n.球状化
spheroidize	【spheroidize】v.球状化
spheroidizing	【spheroidizing】n.球化处理
spherometer	【spherometer】n.球径计
spherule	【spherule】n.小球;小球体
sphincter	【sphincter】n.括约肌
sphinx	【sphinx】n.史芬克斯;人头狮身的雕像;天蛾
sphragistics	【sphragistics】n.金石学
sphygmograph	【sphygmograph】n.脉波计;脉博记录仪
sphygmus	【sphygmus】n.脉博
spicate	【spicate】adj.有穗的;穗状花序的
spiccato	【spiccato】adj.弹奏的
spice	【spice】n.药料;香料;情趣
spicebush	【spicebush】n.钓樟属植物的一种
spicery	【spicery】n.香料;药料;芳香
spicily	【spicily】adv.香郁地;痛快地;讽刺地
spiciness	【spiciness】n.香郁;富於香料;火
spiculate	【spiculate】adj.针状的;尖锐的;有针骨的
spicule	【spicule】n.针状体;小穗小穗状;针骨
spicy	【spicy】adj.辛辣的;刺激的;加香料的;有风味的
spider	【spider】n.蜘蛛;蜘蛛一般的人;辐组
spiderwort	【spiderwort】n.紫鸭拓草
spidery	【spidery】adj.蜘蛛一般的;细长足;蜘蛛网一般的
spiegel	【spiegel】n.镜铁
spiegeleisen	【spiegeleisen】n.镜铁
spiegileisin	【spiegileisin】n.镜铁
spiel	【spiel】n.演说;故事;饶舌;v.喋喋不休地高谈阔论;演奏音乐
spieler	【spieler】n.招徕顾客的人;专事诈欺的人
spiffy	【spiffy】adj.出色的;显眼耀目的;蛮俐落的
spigot	【spigot】n.栓;嘴;饮水的地方
spike	【spike】n.长钉;钉鞋;波尖;v.以大钉钉牢;使…失效
spikelet	【spikelet】n.小穗状花小穗
spikenard	【spikenard】n.甘松;甘松香
spiking	【spiking】n.闪灿
spiky	【spiky】adj.道钉一般的;尖的;钉满钉子的
spile	【spile】n.木栓;嘴;插管;v.插入小栓;打小孔;插上插管
spill	【spill】n.溢出;流;流出;v.溢出;洒;使…流出
spillage	【spillage】n.漏;溢出;溢出液
spillikin	【spillikin】n.玩耍用小块块;数数;数数游戏
spillover	【spillover】n.溢出;过多人口;流溢
spillway	【spillway】n.泄洪道;溢洪道;流溢水路
spilth	【spilth】n.溢泼;多余
spin	【spin】n.旋转;疾驰;v.纺织;旋转;拉长
spinach	【spinach】n.[植]菠菜
spinal	【spinal】adj.针的;尖刺的;尖刺状突起的
spindle	【spindle】n.纱锭;纺锤;轴;v.变细长
spindlelengs	【spindlelengs】n.细长的腿;腿细长的瘦高者
spindly	【spindly】adj.纺锤形的;细长的
spin/doctor	【spin&nbspdoctor】n.媒体顾问;高级顾问
spindrier	【spin-drier】n.脱水机
spindrift	【spindrift】n.海浪的飞沫
spindry	【spin-dry】v.利用远心力脱水
spine	【spine】n.[解]背骨;脊柱;尖刺
spined	【spined】adj.有背骨的;有脊柱的;有刺的
spin/effect	【spin&nbspeffect】n.自转效应
spineless	【spineless】adj.无脊椎的;没有骨气的;懦弱的
spinet	【spinet】n.古时的小型竖琴;小型立式钢琴
spin/filter	【spin&nbspfilter】n.旋转滤波器
spininess	【spininess】n.多针的;尽是尖刺的;尖刺状的
spinnaker	【spinnaker】n.大三角帆
spinner	【spinner】n.自转器
spinneret	【spinneret】n.纺织突起
spinnery	【spinnery】n.纺织工厂
spinney	【spinney】n.林薮;杂树林
spinning	【spinning】n.纺织;旋弯成形;旋转成形加工;v.纺织;旋转;疾驶;晕眩
spinning/jenny	【spinning&nbspjenny】n.初期的多轴纺织机
spinning/machine	【spinning&nbspmachine】n.纺织机
spinning/mill	【spinning&nbspmill】n.纺织工厂
spinning/top	【spinning&nbsptop】n.陀罗
spinose	【spinose】adj.有刺的
spinosity	【spinosity】n.有刺;刺状部;带刺的话
spinous	【spinous】adj.多刺的;刺状的;尖尖的
spinster	【spinster】n.未婚女人;老处女
spinsterhood	【spinsterhood】n.独身;未婚
spinthariscope	【spinthariscope】n.闪烁镜
spinule	【spinule】n.小刺
spiny	【spiny】adj.多针的;尽是尖刺的;尖刺状的
spiracle	【spiracle】n.呼吸孔;气孔;喷水孔
spiral	【spiral】n.螺旋形之物;螺旋线;蜗线;adj.螺旋形的;盘旋的;螺旋状的;v.成螺旋状下降;成螺旋状旋转
spirant	【spirant】n.摩擦音
spire	【spire】n.尖塔;顶峰;旋涡;v.突出;耸立
spirea	【spirea】n.绣线菊类的植物
spirillum	【spirillum】n.螺旋菌;螺菌
spirit	【spirit】n.精神;心灵;人格;v.诱拐;鼓励
spirited	【spirited】adj.有精神的;活泼的;生气勃勃的
spiritless	【spiritless】adj.无生气的;沮丧的;无生命的
spiritual	【spiritual】adj.精神上的;神圣的;崇高的
spiritualistic	【spiritualistic】adj.唯心论的;降神术的
spiritualization	【spiritualization】n.精神化;神灵化;净化
spirograph	【spirograph】n.呼吸运动记录器
spirogyra	【spirogyra】n.水绵属的绿藻类
spirometer	【spirometer】n.肺活量计
spiry	【spiry】adj.尖端的;尖塔状的;多尖塔的
spit	【spit】n.唾液;唾吐;小雨;v.唾吐;吐出;降小雨
spitball	【spitball】n.纸团;唾沫曲球
spitchcock	【spitchcock】n.烤;v.剖开而烧烤
spitdevil	【spit-devil】n.烟火之一种
spite	【spite】n.恶意;怨恨;不顾;v.故意刁难;欺侮
spiteful	【spiteful】adj.怀恨的;怀有恶意的;心眼坏的
spittle	【spittle】n.唾沫;吐出的泡沫
spittoon	【spittoon】n.痰盂
spitzenburg	【spitzenburg】n.美国原产的冬季苹果的一种
spiv	【spiv】n.游手好闲的人
splanchnic	【splanchnic】adj.内脏的
splash	【splash】n.溅;溅着;卖弄;v.溅湿;溅开
splashboard	【splashboard】n.挡泥板
splashdown	【splashdown】n.在海中降落
splashproof	【splashproof】n.避溅
splashy	【splashy】adj.容易溅开的;泥泞的;遍布斑点的
splat	【splat】n.椅背中间纵立的长条木板
splatter	【splatter】n.飞溅;发出溅声;v.使水等飞溅;叽叽查查讲个不停
spleen	【spleen】n.脾脏;发脾气;怨恨
spleenwort	【spleenwort】n.铁角凤尾草属的植物
splendent	【splendent】adj.光亮的;发亮的;豪华的
splendid	【splendid】adj.光亮的;了不起的
splendiferous	【splendiferous】adj.了不起的;极好的;绝妙的
splendor	【splendor】n.光辉;壮丽;显赫
splenetic	【splenetic】n.脾脏病患者;坏心眼的人;脾脏病的药;adj.脾脏的;容易发怒的;坏心眼的
splenic	【splenic】adj.脾脏的;脾的
splenitis	【splenitis】n.脾炎
splenius	【splenius】n.夹板肌
splice	【splice】n.接合;叠接;结婚;v.接合;捻接;叠接
spline	【spline】n.云形规;齿条;制转楔;v.装以角栓
splint	【splint】n.薄木片;托板;夹板
splinter	【splinter】n.碎片;刺;v.劈开;破裂
splintery	【splintery】adj.破片的;裂片一般的;容易裂开的
split	【split】n.劈开;裂片;分裂;adj.分散的;v.分离;分开;劈开
splitlevel	【split-level】adj.房内有不同高度平面的
splosh	【splosh】n.钱;扑通
splotch	【splotch】n.污点;斑点;v.用斑点弄脏
splurge	【splurge】n.炫耀;夸示;v.炫耀;卖弄;大吹大擂地夸示
spoil	【spoil】n.战利品;肥差事;奖品;v.破坏;腐坏;抢夺
spoilage	【spoilage】n.掠夺;糟蹋;弄坏或变成无用之物
spoilsport	【spoilsport】adj.专事破坏他人乐趣的
spoke	【spoke】n.轮幅;v.说;说话;演说
spoken	【spoken】adj.口头讲的;口语的;v.讲
spokeshave	【spokeshave】n.辐刀
spokesman	【spokesman】n.发言人;代表者
spokewise	【spokewise】adj.辐射状的
spoliation	【spoliation】n.强夺;掠夺;教会俸禄之冒领
spondaic	【spondaic】adj.长长格的
spondee	【spondee】n.强强格;长长格
spondylitis	【spondylitis】n.脊椎炎
sponge	【sponge】n.海绵;海绵状的东西;v.用海绵擦拭;吸收掉;抹掉
sponger	【sponger】n.使用海棉擦拭的人;海棉采集者;食客
sponginess	【sponginess】n.海棉状;海棉质
spongy	【spongy】adj.海棉状的;海棉质的;多孔的
sponsion	【sponsion】n.保证
sponson	【sponson】n.舷侧突出的地方;突出炮座;水鳍
sponsor	【sponsor】n.赞助者;保证人;教父;v.发起;赞助
sponsorial	【sponsorial】adj.保证人的;给孩子取名的人的;教父的
spontaneity	【spontaneity】n.自然发生;自生;自发
spontaneous	【spontaneous】adj.自然的;未经琢磨的
spoof	【spoof】n.诳骗;愚弄;戏弄;v.当玩笑地诳骗;戏弄
spoofing	【spoofing】n.电子欺骗
spook	【spook】n.幽灵
spooky	【spooky】adj.幽灵一般的;有鬼一样的;令人毛骨悚然的
spool	【spool】n.线轴;缠线用的框;卷线轴;v.缠绕在线轴上
spooling	【spooling】n.周边同作
spoon	【spoon】n.匙;匙形的铲子;钢水瓢;v.以匙舀起;调情
spoonbill	【spoonbill】n.篦鹭
spoondrift	【spoondrift】n.浪花;浪涛飞沫
spoonerism	【spoonerism】n.头韵调换
spoonfeed	【spoon-feed】v.用汤匙喂食;溺爱;过分爱护
spoonful	【spoonful】n.一匙
spoony	【spoony】n.痴情的人;笨瓜;傻子;adj.痴情的;笨的;愚蠢的
spoor	【spoor】n.痕迹;足迹;v.循着足迹追踪
sporadic	【sporadic】adj.偶尔发生的;零星发生的;散在的
sporangium	【sporangium】n.胞子囊;芽胞囊
spore	【spore】n.户外运动;游戏;娱乐;v.游戏;炫耀
sporophyte	【sporophyte】n.胞子体;造胞体;胞子形成体
sporran	【sporran】n.毛皮袋
sport	【sport】n.运动;游戏;娱乐;adj.运动的;户外穿戴的;v.游戏;戏弄;炫耀
sportful	【sportful】adj.玩耍着的;很有乐趣的;陶醉的
sporting	【sporting】adj.喜好运动的;运动用的;冒险性的
sportive	【sportive】adj.嬉戏着的;戏虐的;闹着玩的
sportsbag	【sportsbag】n.运动袋
sportscast	【sportscast】n.运动比赛转播;比赛实况说明
sportscaster	【sportscaster】n.实况转播的广播员
sportsman	【sportsman】n.运动家;冒险家
sportsmanship	【sportsmanship】n.运动家精神
sportswear	【sportswear】n.运动装;休闲活动穿着的衣服
sportswoman	【sportswoman】n.女运动家
sporule	【sporule】n.胞子;芽胞;小胞子
spot	【spot】n.污点;地点;斑点;adj.当场的;现实买卖的;v.污点;认出;用灯光照射
